Timestamp,IP,Requests Send,Requests Recieved,Responses Send,Responses Recieved
2021-12-02 13:20:02.135584,127.0.0.13,2,2,0,2
2021-12-02 13:20:32.167291,127.0.0.13,2,2,0,2
2021-12-02 13:21:02.211711,127.0.0.13,2,2,0,2
2021-12-02 13:21:32.229593,127.0.0.13,2,2,0,2
2021-12-02 13:22:02.251022,127.0.0.13,2,2,0,2
2021-12-02 13:22:32.296217,127.0.0.13,2,2,0,2
2021-12-02 13:23:02.338023,127.0.0.13,2,2,0,2
2021-12-02 13:23:32.380071,127.0.0.13,2,2,0,2
2021-12-02 13:24:02.406679,127.0.0.13,2,2,0,2
2021-12-02 13:24:32.482930,127.0.0.13,2,2,0,2
2021-12-02 13:25:02.551548,127.0.0.13,2,2,0,2
2021-12-02 13:25:32.594662,127.0.0.13,2,2,0,2
2021-12-02 13:26:02.609589,127.0.0.13,2,2,0,2
2021-12-02 13:26:32.643782,127.0.0.13,2,2,0,2
2021-12-02 13:27:02.665793,127.0.0.13,2,2,0,2
2021-12-02 13:27:32.694466,127.0.0.13,2,2,0,2
2021-12-02 13:28:02.723740,127.0.0.13,2,2,0,2
2021-12-02 13:28:32.757997,127.0.0.13,2,2,0,2
2021-12-02 13:29:02.773716,127.0.0.13,2,2,0,2
2021-12-02 13:29:32.819307,127.0.0.13,2,2,0,2
2021-12-02 13:30:02.853264,127.0.0.13,2,2,0,2
2021-12-02 13:30:32.877756,127.0.0.13,2,2,0,2
2021-12-02 13:31:02.903193,127.0.0.13,2,2,0,2
2021-12-02 13:31:32.922006,127.0.0.13,2,2,0,2
2021-12-02 13:32:02.942707,127.0.0.13,2,2,0,2
2021-12-02 13:32:32.996386,127.0.0.13,2,2,0,2
2021-12-02 13:33:03.037074,127.0.0.13,2,2,0,2
2021-12-02 13:33:33.073418,127.0.0.13,2,2,0,2
2021-12-02 13:34:03.107956,127.0.0.13,2,2,0,2
2021-12-02 13:34:33.131162,127.0.0.13,2,2,0,2
2021-12-02 13:35:03.183648,127.0.0.13,2,2,0,2
2021-12-02 13:35:33.208660,127.0.0.13,2,2,0,2
2021-12-02 13:36:03.226769,127.0.0.13,2,2,0,2
2021-12-02 13:36:33.285316,127.0.0.13,2,2,0,2
2021-12-02 13:37:03.306967,127.0.0.13,2,2,0,2
2021-12-02 13:37:33.325025,127.0.0.13,2,2,0,2
2021-12-02 13:38:03.345633,127.0.0.13,2,2,0,2
2021-12-02 13:38:33.367553,127.0.0.13,2,2,0,2
2021-12-02 13:39:03.408416,127.0.0.13,2,2,0,2
2021-12-02 13:39:33.426673,127.0.0.13,2,2,0,2
2021-12-02 13:40:03.446769,127.0.0.13,2,2,0,2
2021-12-02 13:40:33.466764,127.0.0.13,2,2,0,2
2021-12-02 13:41:03.486984,127.0.0.13,2,2,0,2
2021-12-02 13:41:33.510949,127.0.0.13,2,2,0,2
2021-12-02 13:42:03.525776,127.0.0.13,2,2,0,2
2021-12-02 13:42:33.556141,127.0.0.13,2,2,0,2
2021-12-02 13:43:03.565919,127.0.0.13,2,2,0,2
2021-12-02 13:43:33.577547,127.0.0.13,2,2,0,2
2021-12-02 13:44:03.600409,127.0.0.13,2,2,0,2
2021-12-02 13:44:33.617711,127.0.0.13,2,2,0,2
2021-12-02 13:45:03.633812,127.0.0.13,2,2,0,2
2021-12-02 13:45:33.669410,127.0.0.13,2,2,0,2
2021-12-02 13:46:03.704686,127.0.0.13,2,2,0,2
2021-12-02 13:46:33.738271,127.0.0.13,2,2,0,2
2021-12-02 13:47:03.789849,127.0.0.13,2,2,0,2
2021-12-02 13:47:33.823085,127.0.0.13,2,2,0,2
2021-12-02 13:48:03.844912,127.0.0.13,2,2,0,2
2021-12-02 13:48:33.857417,127.0.0.13,2,2,0,2
2021-12-02 13:49:03.889091,127.0.0.13,2,2,0,2
2021-12-02 13:49:33.931722,127.0.0.13,2,2,0,2
2021-12-02 13:50:03.951476,127.0.0.13,2,2,0,2
2021-12-02 13:50:33.985085,127.0.0.13,2,2,0,2
2021-12-02 13:51:03.998753,127.0.0.13,2,2,0,2
2021-12-02 13:51:34.052092,127.0.0.13,2,2,0,2
2021-12-02 13:52:04.099017,127.0.0.13,2,2,0,2
2021-12-02 13:52:34.109472,127.0.0.13,2,2,0,2
2021-12-02 13:53:04.144324,127.0.0.13,2,2,0,2
2021-12-02 13:53:34.187351,127.0.0.13,2,2,0,2
2021-12-02 13:54:04.227474,127.0.0.13,2,2,0,2
2021-12-02 13:54:34.250388,127.0.0.13,2,2,0,2
2021-12-02 13:55:04.293623,127.0.0.13,2,2,0,2
2021-12-02 13:55:34.339193,127.0.0.13,2,2,0,2
2021-12-02 13:56:04.371922,127.0.0.13,2,2,0,2
2021-12-02 13:56:34.406881,127.0.0.13,2,2,0,2
2021-12-02 13:57:04.457286,127.0.0.13,2,2,0,2
2021-12-02 13:57:34.483274,127.0.0.13,2,2,0,2
2021-12-02 13:58:04.501435,127.0.0.13,2,2,0,2
2021-12-02 13:58:34.542386,127.0.0.13,2,2,0,2
2021-12-02 13:59:04.605453,127.0.0.13,2,2,0,2
2021-12-02 13:59:34.668553,127.0.0.13,2,2,0,2
2021-12-02 14:00:04.717426,127.0.0.13,2,2,0,2
2021-12-02 14:00:34.763331,127.0.0.13,2,2,0,2
2021-12-02 14:01:04.869400,127.0.0.13,2,2,0,2
2021-12-02 14:01:34.920071,127.0.0.13,2,2,0,2
2021-12-02 14:02:04.977810,127.0.0.13,2,2,0,2
2021-12-02 14:02:35.007677,127.0.0.13,2,2,0,2
2021-12-02 14:03:05.027027,127.0.0.13,2,2,0,2
2021-12-02 14:03:35.079661,127.0.0.13,2,2,0,2
2021-12-02 14:04:05.169533,127.0.0.13,2,2,0,2
2021-12-02 14:04:35.228832,127.0.0.13,2,2,0,2
2021-12-02 14:05:05.319608,127.0.0.13,2,2,0,2
2021-12-02 14:05:35.415934,127.0.0.13,2,2,0,2
2021-12-02 14:06:05.495883,127.0.0.13,2,2,0,2
2021-12-02 14:06:35.579522,127.0.0.13,2,2,0,2
2021-12-02 14:07:05.636800,127.0.0.13,2,2,0,2
2021-12-02 14:07:35.676507,127.0.0.13,2,2,0,2
2021-12-02 14:08:05.722779,127.0.0.13,2,2,0,2
2021-12-02 14:08:35.799793,127.0.0.13,2,2,0,2
2021-12-02 14:09:05.822765,127.0.0.13,2,2,0,2
2021-12-02 14:09:35.856283,127.0.0.13,2,2,0,2
2021-12-02 14:10:05.879298,127.0.0.13,2,2,0,2
2021-12-02 14:10:35.917648,127.0.0.13,2,2,0,2
2021-12-02 14:11:05.944938,127.0.0.13,2,2,0,2
2021-12-02 14:11:35.985438,127.0.0.13,2,2,0,2
2021-12-02 14:12:06.022355,127.0.0.13,2,2,0,2
2021-12-02 14:12:36.050451,127.0.0.13,2,2,0,2
2021-12-02 14:13:06.081451,127.0.0.13,2,2,0,2
2021-12-02 14:13:36.164784,127.0.0.13,2,2,0,2
2021-12-02 14:14:06.229654,127.0.0.13,2,2,0,2
2021-12-02 14:14:36.311039,127.0.0.13,2,2,0,2
2021-12-02 14:15:06.354389,127.0.0.13,2,2,0,2
2021-12-02 14:15:36.391136,127.0.0.13,2,2,0,2
2021-12-02 14:16:06.455985,127.0.0.13,2,2,0,2
2021-12-02 14:16:36.489215,127.0.0.13,2,2,0,2
2021-12-02 14:17:06.511958,127.0.0.13,2,2,0,2
2021-12-02 14:17:36.557389,127.0.0.13,2,2,0,2
2021-12-02 14:18:06.594386,127.0.0.13,2,2,0,2
2021-12-02 14:18:36.632006,127.0.0.13,2,2,0,2
2021-12-02 14:19:06.679483,127.0.0.13,2,2,0,2
2021-12-02 14:19:36.748043,127.0.0.13,2,2,0,2
2021-12-02 14:20:06.776722,127.0.0.13,2,2,0,2
2021-12-02 14:20:36.835111,127.0.0.13,2,2,0,2
2021-12-02 14:21:06.883442,127.0.0.13,2,2,0,2
2021-12-02 14:21:36.942702,127.0.0.13,2,2,0,2
2021-12-02 14:22:06.982383,127.0.0.13,2,2,0,2
2021-12-02 14:22:37.040148,127.0.0.13,2,2,0,2
2021-12-02 14:23:07.089720,127.0.0.13,2,2,0,2
2021-12-02 14:23:37.142919,127.0.0.13,2,2,0,2
2021-12-02 14:24:07.194173,127.0.0.13,2,2,0,2
2021-12-02 14:24:37.272811,127.0.0.13,2,2,0,2
